year,ctax_n,stfip_nbr,stfip_sub
1977,2.3499999,26,26
1978,2.3499999,26,26
1979,2.3499999,26,26
1980,2.3499999,26,26
1981,2.3499999,26,26
1982,2.3499999,26,26
1983,2.3499999,26,26
1984,2.3499999,26,26
1985,2.3499999,26,26
1986,2.3499999,26,26
1987,2.3499999,26,26
1988,2.3499999,26,26
1989,2.3499999,26,26
1990,2.3499999,26,26
1991,2.3499999,26,26
1992,2.3499999,26,26
1993,2.3499999,26,26
1994,2.3499999,26,26
1995,2.325,26,26
1996,2.3,26,26
1997,2.3,26,26
1998,2.3,26,26
1999,2.3,26,26
2000,2.2,26,26
2001,2.0999999,26,26
2002,2,26,26
2003,1.9,26,26
2004,1.9,26,26
2005,1.9,26,26
2006,1.9,26,26
2007,1.95,26,26
2008,4.9499998,26,26
